Employee,Rating,box,Region,Designation
Aimee,P,3,Houston,Not TL
Avigdor,P,5,Athens,Not TL
Dianne,P,3,Montevideo,Not TL
Demetris,NP,9,Mumbai,Not TL
Tate,P,5,Mumbai,Not TL
Pearla,P,5,Montevideo,Not TL
Herb,P,3,Singapore,Not TL
Scarface,P,1,Mumbai,Not TL
Brittan,P,7,Singapore,Not TL
Claudell,P,9,Geneva,Not TL
Culley,P,7,Montevideo,Not TL
Felisha,P,5,Mumbai,Not TL
Hermie,P,4,Montevideo,TL
Linus,P,8,Geneva,Not TL
Sonnie,NP,8,Houston,Not TL
Gratia,P,8,Houston,TL
Kial,NP,7,Athens,Not TL
Dita,NP,5,Mumbai,Not TL
Ashla,P,2,Mumbai,Not TL
Josefina,P,6,Houston,Not TL
Shermie,P,6,Houston,Not TL
Hanna,P,6,Mumbai,Not TL
Vaughan,NP,6,Mumbai,Not TL
Lesli,P,7,Montevideo,Not TL
Breanne,P,6,Houston,Not TL
Jess,P,1,Montevideo,Not TL
Jaquelin,NP,2,Mumbai,Not TL
Alphonso,P,5,Houston,Not TL
Louisa,P,9,Montevideo,TL
Basia,P,5,Montevideo,Not TL
Hesther,P,8,Montevideo,Not TL
Cathleen,P,8,Mumbai,TL
Keen,P,5,Houston,Not TL
Nomi,P,5,Geneva,TL
Stillman,NP,5,Montevideo,TL
Celle,P,6,Geneva,Not TL
Haley,NP,5,Mumbai,TL
Zea,P,4,Montevideo,Not TL
Byran,NP,4,Singapore,Not TL
Enrica,NP,5,Singapore,Not TL
Vivien,P,5,Houston,Not TL
Ashlie,NP,3,Geneva,Not TL
Ricoriki,P,3,Mumbai,Not TL
Holden,NP,3,Mumbai,TL
Karole,P,3,Mumbai,Not TL
Malvin,P,1,Houston,Not TL
Ambrosius,P,7,Montevideo,Not TL
Dione,P,3,Geneva,TL
Jedediah,P,1,Mumbai,Not TL
Margaretha,P,3,Geneva,Not TL
Flemming,P,7,Singapore,Not TL
Marlyn,P,6,Montevideo,Not TL
Ula,P,5,Singapore,Not TL
Maud,NP,3,Houston,Not TL
Sterne,P,7,Montevideo,Not TL
Lyell,P,6,Athens,Not TL
Analiese,P,5,Mumbai,Not TL
Margarita,P,5,Montevideo,TL
Tommy,NP,5,Athens,Not TL
Amos,P,2,Mumbai,Not TL
Mandel,P,7,Houston,Not TL
Dot,P,8,Mumbai,Not TL
Cesya,P,5,Geneva,Not TL
Mirabella,P,5,Mumbai,Not TL
Ewen,P,5,Athens,Not TL
Kerrin,P,5,Mumbai,Not TL
Griselda,P,6,Mumbai,Not TL
Liva,P,5,Mumbai,Not TL
Dane,NP,5,Montevideo,Not TL
Morena,P,7,Athens,Not TL
Geno,P,7,Montevideo,Not TL
Kingston,P,7,Geneva,Not TL
Judon,P,6,Houston,Not TL
Valentine,P,1,Houston,Not TL
Hobart,NP,6,Mumbai,Not TL
Elihu,P,5,Houston,Not TL
Carl,P,5,Athens,Not TL
Ekaterina,P,6,Montevideo,Not TL
Hildegarde,P,2,Montevideo,Not TL
Tripp,NP,8,Montevideo,Not TL
Aldin,P,2,Mumbai,Not TL
Dyna,NP,5,Singapore,Not TL
Lanie,P,5,Houston,Not TL
Cullie,P,5,Mumbai,Not TL
Rhea,NP,3,Athens,Not TL
Irene,NP,5,Geneva,Not TL
Libby,P,6,Montevideo,TL
Stella,P,7,Montevideo,Not TL
Major,P,5,Houston,Not TL
Jorie,P,6,Houston,Not TL
Derward,P,2,Montevideo,Not TL
Nathalie,P,5,Houston,Not TL
Andrey,P,4,Mumbai,Not TL
Stormie,P,9,Singapore,TL
Mickie,P,7,Mumbai,Not TL
Samuele,NP,8,Singapore,TL
Yalonda,P,3,Mumbai,Not TL
Casandra,P,2,Mumbai,Not TL
Tiff,P,6,Athens,Not TL
